codeReg;codeDep;popMenEP;popMen024;popMen2559;popMen60P;popMen75P;popAppart;partPopAppart;popMaison;partPopMaison;popCmt;pop60PHebPerm
76;66;464443;125712;193763;144967;54003;144851;31,2;317402;68,3;8404;3798
44;67;1097508;329737;514808;252963;85654;505881;46,1;586121;53,4;22361;10053
44;68;746682;215922;348849;181911;61753;302887;40,6;441546;59,1;15508;7432
84;69;1792672;600194;814614;377865;135689;1137749;63,5;641644;35,8;41089;14632
27;70;232185;64319;102429;65436;22197;41409;17,8;189853;81,8;4581;2740
27;71;540518;142283;231361;166874;61393;130641;24,2;406660;75,2;13407;8089
52;72;553359;166410;239333;147615;53791;97807;17,7;452927;81,9;12812;6343
84;73;420875;120839;193346;106690;37315;185788;44,1;232502;55,2;8380;3105
84;74;788076;236853;384979;166244;53683;392068;49,8;392009;49,7;12159;4102
11;75;2146743;582057;1100692;463994;160914;2085176;97,1;26093;1,2;41208;5609
28;76;1231443;383259;547265;300919;103197;428860;34,8;797291;64,7;22573;10117
11;77;1374319;467878;652174;254268;75988;481462;35;881850;64,2;19572;7695
11;78;1404331;459143;652988;292199;97693;706934;50,3;686956;48,9;25245;7411
75;79;364976;102021;160719;102236;37418;31775;8,7;331751;90,9;9084;5095
32;80;560745;174572;248334;137839;46276;108977;19,4;449477;80,2;11515;6382
76;81;376579;101566;160822;114191;43930;55207;14,7;319997;85;9137;4868
76;82;250556;72104;110450;68002;24680;39065;15,6;210046;83,8;5483;2308
93;83;1030811;267439;440379;322993;118111;458256;44,5;566417;54,9;23043;10245
93;84;548081;159701;239915;148465;51555;164947;30,1;379570;69,3;9869;5525
52;85;654340;183724;282314;188302;63552;52012;7,9;600144;91,7;15442;11566
75;86;423643;127557;182435;113651;41797;74689;17,6;346598;81,8;11561;4716
75;87;366929;100204;156715;110010;41129;100395;27,4;265129;72,3;7426;5050
44;88;360269;97869;158068;104332;36548;95700;26,6;262994;73;8984;6000
27;89;330004;90907;142739;96358;33534;61973;18,8;266722;80,8;9653;4565
27;90;140696;42806;63578;34312;11861;62158;44,2;78030;55,5;3307;1569
11;91;1255660;423543;590666;241451;79319;593517;47,3;653641;52,1;28052;8715
11;92;1575735;492883;781231;301622;107352;1319603;83,7;242230;15,4;25995;8896
11;93;1578590;565544;761220;251826;77762;1115260;70,6;443802;28,1;25141;4651
11;94;1353168;438787;652480;261901;90430;978004;72,3;359459;26,6;23361;7228
11;95;1199969;420254;565482;214233;65228;587999;49;602172;50,2;17272;6724
01;971;389998;122577;176228;91194;29105;91431;23,4;296702;76,1;3837;1071
02;972;370291;106096;169169;95025;32899;127548;34,4;241344;65,2;5220;1228
03;973;266578;131881;113597;21100;4336;69486;26,1;180652;67,8;2355;284
04;974;845713;318260;395946;131507;35676;233640;27,6;608335;71,9;7050;1776
